Cycle 	Algorithm (optimal length) 	Case Name
(URB UBL ULF) 	L F' L B2 L' F L B2 L2 (9 HTM) 	A9
(URB UBL UFR) 	R2 B2 R F R' B2 R F' R (9 HTM) 	A9
(URB UBL FUL) 	L F R' F' L' F R F' (8 HTM) 	Direct Insert
(URB UBL FRU) 	R B L B' R' B L' B' (8 HTM) 	Direct Insert
(URB UBL FLD) 	U' B D' B' U B D B' (8 HTM) 	Drop and Catch
(URB UBL FDR) 	U' L' D2 L U L' D2 L (8 HTM) 	Drop and Catch
(URB UBL RUF) 	B U2 B D B' U2 B D' B2 (9 HTM) 	A9
(URB UBL RFD) 	U' B D2 B' U B D2 B' (8 HTM) 	Drop and Catch
(URB UBL RDB) 	U' L' D L U L' D' L (8 HTM) 	Drop and Catch
(URB UBL BRD) 	R' B L B' R B L' B' (8 HTM) 	Direct Insert
(URB UBL BDL) 	U' B D B' U B D' B' (8 HTM) 	Direct Insert
(URB UBL LFU) 	B2 D' B U2 B' D B U2 B (9 HTM) 	A9
(URB UBL LBD) 	U' L' D' L U L' D L (8 HTM) 	Direct Insert
(URB UBL LDF) 	B' D2 B U B' D2 B U' (8 HTM) 	Drop and Catch
(URB UBL DFL) 	L2 D R2 D' L2 D R2 D' (8 HTM) 	Direct Insert
(URB UBL DRF) 	R2 B L B' R2 B L' B' (8 HTM) 	Direct Insert
(URB UBL DLB) 	D L2 D R2 D' L2 D R2 D2 (9 HTM) 	A9
(URB UBL DBR) 	D2 L2 D R2 D' L2 D R2 D (9 HTM) 	A9
(URB ULF UBL) 	L2 B2 L' F' L B2 L' F L' (9 HTM) 	A9
(URB ULF UFR) 	R B' R F2 R' B R F2 R2 (9 HTM) 	A9
(URB ULF FRU) 	L2 B2 L' F2 L B2 L' F2 L' (9 HTM) 	A9
(URB ULF FLD) 	U2 F' D' F U2 F' D F (8 HTM) 	Direct Insert
(URB ULF FDR) 	B' D B U2 B' D' B U2 (8 HTM) 	Drop and Catch
(URB ULF RUF) 	B' R2 B' L2 B R2 B' L2 B2 (9 HTM) 	A9
(URB ULF RFD) 	U2 L D' L' U2 L D L' (8 HTM) 	Drop and Catch
(URB ULF RDB) 	U2 F' D2 F U2 F' D2 F (8 HTM) 	Drop and Catch
(URB ULF BLU) 	R B2 R F2 R' B2 R F2 R2 (9 HTM) 	A9
(URB ULF BRD) 	U2 L D2 L' U2 L D2 L' (8 HTM) 	Drop and Catch
(URB ULF BDL) 	U2 F' D F U2 F' D' F (8 HTM) 	Drop and Catch
(URB ULF LUB) 	F2 R2 F L2 F' R2 F L2 F (9 HTM) 	A9
(URB ULF LBD) 	R D' R' U2 R D R' U2 (8 HTM) 	Drop and Catch
(URB ULF LDF) 	U2 L D L' U2 L D' L' (8 HTM) 	Direct Insert
(URB ULF DFL) 	R U2 R' U' L2 U R U' L2 U' R' (11 HTM) 	Columns
(URB ULF DRF) 	U F2 U' F2 U' R2 U F2 U F2 U' R2 (12 HTM) 	Per Special
(URB ULF DLB) 	U2 F U2 F' L2 F' L2 F L2 B L2 B' (12 HTM) 	Per Special
(URB ULF DBR) 	R B R2 B L' B' R2 B L B2 R' (11 HTM) 	Columns
(URB UFR UBL) 	R' F R' B2 R F' R' B2 R2 (9 HTM) 	A9
(URB UFR ULF) 	R2 F2 R' B' R F2 R' B R' (9 HTM) 	A9
(URB UFR FUL) 	R2 D R' U2 R D' R' U2 R' (9 HTM) 	A9
(URB UFR FLD) 	R D2 R' U' R D2 R' U (8 HTM) 	Drop and Catch
(URB UFR FDR) 	U F D F' U' F D' F' (8 HTM) 	Direct Insert
(URB UFR RFD) 	U R' D' R U' R' D R (8 HTM) 	Direct Insert
(URB UFR RDB) 	R D R' U' R D' R' U (8 HTM) 	Direct Insert
(URB UFR BLU) 	R' U2 R' D' R U2 R' D R2 (9 HTM) 	A9
(URB UFR BRD) 	U F D' F' U' F D F' (8 HTM) 	Drop and Catch
(URB UFR BDL) 	U R' D2 R U' R' D2 R (8 HTM) 	Drop and Catch
(URB UFR LUB) 	L F' L' B L F L' B' (8 HTM) 	Direct Insert
(URB UFR LFU) 	R B R' F R B' R' F' (8 HTM) 	Direct Insert
(URB UFR LBD) 	U F D2 F' U' F D2 F' (8 HTM) 	Drop and Catch
(URB UFR LDF) 	U R' D R U' R' D' R (8 HTM) 	Drop and Catch
